Source,Destination,Distance(KM),Total_Time(hr),Cost_per_KM
56,61,1767.6,44.19,5302.8
35,24,1053.5,26.34,3160.5
35,47,1381.91,34.55,4145.73
35,31,1086.57,27.16,3259.71
35,54,965.79,24.14,2897.37
35,53,979.69,24.49,2939.07
35,19,2115.7,52.89,6347.1
35,12,349.9,8.75,1049.7
35,46,1288.84,32.22,3866.52
35,45,1289.75,32.24,3869.25
35,51,1929.08,48.23,5787.24
35,6,1562.88,39.07,4688.64
35,20,2118.0,52.95,6354.0
35,56,1615.29,40.38,4845.87
35,48,1520.38,38.01,4561.14
35,57,1661.86,41.55,4985.58
35,58,1596.8,39.92,4790.4
35,42,1031.98,25.8,3095.94
35,13,349.52,8.74,1048.56
35,14,352.13,8.8,1056.39
35,37,1254.3,31.36,3762.9
35,30,944.53,23.61,2833.59
35,5,1105.96,27.65,3317.88
35,41,1024.66,25.62,3073.98
35,52,1968.42,49.21,5905.26
35,26,628.53,15.71,1885.59
35,21,1967.48,49.19,5902.44
35,28,1036.87,25.92,3110.61
35,36,580.49,14.51,1741.47
35,44,924.2,23.1,2772.6
35,43,926.8,23.17,2780.4
35,10,541.84,13.55,1625.52
35,32,1315.17,32.88,3945.51
35,33,1295.35,32.38,3886.05
35,3,681.71,17.04,2045.13
35,9,770.97,19.27,2312.91
35,34,80.31,2.01,240.93
35,59,957.46,23.94,2872.38
35,16,2015.74,50.39,6047.22
35,29,1056.14,26.4,3168.42
35,8,989.13,24.73,2967.39
35,40,1029.53,25.74,3088.59
35,11,585.62,14.64,1756.86
35,23,994.39,24.86,2983.17
35,4,139.02,3.48,417.06
35,25,1040.2,26.01,3120.6
35,15,2030.84,50.77,6092.52
35,27,1077.16,26.93,3231.48
35,55,805.38,20.13,2416.14
35,39,1207.52,30.19,3622.56
35,49,1713.37,42.83,5140.11
35,17,2008.01,50.2,6024.03
35,38,1310.72,32.77,3932.16
35,0,1200.18,30.0,3600.54
35,1,1180.88,29.52,3542.64
35,22,952.65,23.82,2857.95
35,2,1176.53,29.41,3529.59
35,18,2015.45,50.39,6046.35
35,50,1669.15,41.73,5007.45
35,60,1538.64,38.47,4615.92
35,7,1750.02,43.75,5250.06
35,61,1719.91,43.0,5159.73
48,24,1291.29,32.28,3873.87
48,47,209.55,5.24,628.65
48,31,1215.6,30.39,3646.8
48,54,2438.87,60.97,7316.61
48,53,2452.76,61.32,7358.28
48,19,696.08,17.4,2088.24
48,12,1278.33,31.96,3834.99
48,46,248.55,6.21,745.65
48,45,246.74,6.17,740.22
48,51,884.63,22.12,2653.89
48,6,934.99,23.37,2804.97
48,20,698.3,17.46,2094.9
48,56,768.03,19.2,2304.09
48,35,1516.14,37.9,4548.42
48,57,771.6,19.29,2314.8
48,58,784.07,19.6,2352.21
48,42,539.64,13.49,1618.92
48,13,1328.7,33.22,3986.1
48,14,1328.08,33.2,3984.24
48,37,1162.79,29.07,3488.37
48,30,1194.06,29.85,3582.18
48,5,2579.03,64.48,7737.09
48,41,788.34,19.71,2365.02
48,52,602.25,15.06,1806.75
48,26,1202.32,30.06,3606.96
48,21,475.78,11.89,1427.34
48,28,1212.43,30.31,3637.29
48,36,1060.97,26.52,3182.91
48,44,612.59,15.31,1837.77
48,43,613.0,15.32,1839.0
48,10,1306.35,32.66,3919.05
48,32,539.76,13.49,1619.28
48,33,541.3,13.53,1623.9
48,3,1894.05,47.35,5682.15
48,9,1840.81,46.02,5522.43
48,34,1450.28,36.26,4350.84
48,59,1131.35,28.28,3394.05
48,16,563.68,14.09,1691.04
48,29,1220.9,30.52,3662.7
48,8,1034.53,25.86,3103.59
48,40,767.0,19.18,2301.0
48,11,1536.35,38.41,4609.05
48,23,1093.96,27.35,3281.88
48,4,1630.8,40.77,4892.4
48,25,1118.5,27.96,3355.5
48,15,623.72,15.59,1871.16
48,27,1155.46,28.89,3466.38
48,55,2278.45,56.96,6835.35
48,39,1060.83,26.52,3182.49
48,49,1016.93,25.42,3050.79
48,17,588.39,14.71,1765.17
48,38,1155.63,28.89,3466.89
48,0,1225.11,30.63,3675.33
48,1,1246.06,31.15,3738.18
48,22,1069.23,26.73,3207.69
48,2,1226.19,30.65,3678.57
48,18,605.68,15.14,1817.04
48,50,1044.62,26.12,3133.86
48,60,1954.44,48.86,5863.32
48,7,1073.84,26.85,3221.52
48,61,1024.75,25.62,3074.25
57,24,1684.38,42.11,5053.14
57,47,968.01,24.2,2904.03
57,31,1655.09,41.38,4965.27
57,54,2610.67,65.27,7832.01
57,53,2624.56,65.61,7873.68
57,19,1411.41,35.29,4234.23
57,12,1510.23,37.76,4530.69
57,46,752.59,18.81,2257.77
57,45,755.7,18.89,2267.1
57,51,1649.39,41.23,4948.17
57,6,205.5,5.14,616.5
57,20,1393.17,34.83,4179.51
57,56,53.03,1.33,159.09
57,35,1653.28,41.33,4959.84
57,48,773.08,19.33,2319.24
57,58,72.69,1.82,218.07
57,42,918.64,22.97,2755.92
57,13,1324.62,33.12,3973.86
57,14,1324.31,33.11,3972.93
57,37,1782.36,44.56,5347.08
57,30,1570.02,39.25,4710.06
57,5,2750.83,68.77,8252.49
57,41,743.27,18.58,2229.81
57,52,395.0,9.88,1185.0
57,26,1483.43,37.09,4450.29
57,21,878.8,21.97,2636.4
57,28,1605.39,40.13,4816.17
57,36,1326.82,33.17,3980.46
57,44,852.75,21.32,2558.25
57,43,853.16,21.33,2559.48
57,10,1542.76,38.57,4628.28
57,32,1265.41,31.64,3796.23
57,33,1236.23,30.91,3708.69
57,3,1576.61,39.42,4729.83
57,9,2108.49,52.71,6325.47
57,34,1587.42,39.69,4762.26
57,59,763.12,19.08,2289.36
57,16,1250.64,31.27,3751.92
57,29,1623.33,40.58,4869.99
57,8,1423.78,35.59,4271.34
57,40,724.66,18.12,2173.98
57,11,1806.0,45.15,5418.0
57,23,1479.77,36.99,4439.31
57,4,1783.9,44.6,5351.7
57,25,1536.57,38.41,4609.71
57,15,1351.2,33.78,4053.6
57,27,1573.53,39.34,4720.59
57,55,2450.26,61.26,7350.78
57,39,1571.84,39.3,4715.52
57,49,1775.66,44.39,5326.98
57,17,1289.53,32.24,3868.59
57,38,1775.72,44.39,5327.16
57,0,1758.77,43.97,5276.31
57,1,1747.05,43.68,5241.15
57,22,1445.2,36.13,4335.6
57,2,1732.95,43.32,5198.85
57,18,1323.5,33.09,3970.5
57,50,1803.34,45.08,5410.02
57,60,1221.86,30.55,3665.58
57,7,335.41,8.39,1006.23
57,61,1783.47,44.59,5350.41
58,24,1638.48,40.96,4915.44
58,47,971.01,24.28,2913.03
58,31,1609.2,40.23,4827.6
58,54,2543.98,63.6,7631.94
58,53,2557.88,63.95,7673.64
58,19,1431.11,35.78,4293.33
58,12,1443.55,36.09,4330.65
58,46,754.04,18.85,2262.12
58,45,757.16,18.93,2271.48
58,51,1662.28,41.56,4986.84
58,6,163.77,4.09,491.31
58,20,1412.87,35.32,4238.61
58,56,23.71,0.59,71.13
58,35,1586.59,39.66,4759.77
58,48,785.97,19.65,2357.91
58,57,70.4,1.76,211.2
58,42,872.74,21.82,2618.22
58,13,1257.94,31.45,3773.82
58,14,1257.63,31.44,3772.89
58,37,1736.47,43.41,5209.41
58,30,1524.13,38.1,4572.39
58,5,2684.15,67.1,8052.45
58,41,676.59,16.91,2029.77
58,52,415.52,10.39,1246.56
58,26,1416.75,35.42,4250.25
58,21,898.5,22.46,2695.5
58,28,1559.5,38.99,4678.5
58,36,1260.13,31.5,3780.39
58,44,806.85,20.17,2420.55
58,43,807.27,20.18,2421.81
58,10,1476.08,36.9,4428.24
58,32,1210.16,30.25,3630.48
58,33,1190.34,29.76,3571.02
58,3,1509.92,37.75,4529.76
58,9,2041.8,51.04,6125.4
58,34,1520.74,38.02,4562.22
58,59,696.44,17.41,2089.32
58,16,1270.34,31.76,3811.02
58,29,1577.44,39.44,4732.32
58,8,1377.89,34.45,4133.67
58,40,657.98,16.45,1973.94
58,11,1739.31,43.48,5217.93
58,23,1433.88,35.85,4301.64
58,4,1717.21,42.93,5151.63
58,25,1490.68,37.27,4472.04
58,15,1370.9,34.27,4112.7
58,27,1527.63,38.19,4582.89
58,55,2383.57,59.59,7150.71
58,39,1525.95,38.15,4577.85
58,49,1756.19,43.9,5268.57
58,17,1309.23,32.73,3927.69
58,38,1729.83,43.25,5189.49
58,0,1712.88,42.82,5138.64
58,1,1701.15,42.53,5103.45
58,22,1399.3,34.98,4197.9
58,2,1687.06,42.18,5061.18
58,18,1343.2,33.58,4029.6
58,50,1783.88,44.6,5351.64
58,60,1180.14,29.5,3540.42
58,7,331.17,8.28,993.51
58,61,1764.01,44.1,5292.03
42,24,774.49,19.36,2323.47
42,47,373.72,9.34,1121.16
42,31,745.2,18.63,2235.6
42,54,1926.49,48.16,5779.47
42,53,1940.39,48.51,5821.17
42,19,1107.51,27.69,3322.53
42,12,763.44,19.09,2290.32
42,46,386.15,9.65,1158.45
42,45,387.07,9.68,1161.21
42,51,991.69,24.79,2975.07
42,6,933.61,23.34,2800.83
42,20,1109.81,27.75,3329.43
42,56,873.41,21.84,2620.23
42,35,1025.65,25.64,3076.95
42,48,536.17,13.4,1608.51
42,57,917.54,22.94,2752.62
42,58,868.3,21.71,2604.9
42,13,918.85,22.97,2756.55
42,14,918.23,22.96,2754.69
42,37,863.15,21.58,2589.45
42,30,660.14,16.5,1980.42
42,5,2066.66,51.67,6199.98
42,41,462.4,11.56,1387.2
42,52,1065.73,26.64,3197.19
42,26,647.92,16.2,1943.76
42,21,966.44,24.16,2899.32
42,28,695.51,17.39,2086.53
42,36,520.29,13.01,1560.87
42,44,305.01,7.63,915.03
42,43,303.78,7.59,911.34
42,10,765.67,19.14,2297.01
42,32,362.06,9.05,1086.18
42,33,342.24,8.56,1026.72
42,3,1498.33,37.46,4494.99
42,9,1286.41,32.16,3859.23
42,34,959.8,23.99,2879.4
42,59,805.54,20.14,2416.62
42,16,1007.56,25.19,3022.68
42,29,713.44,17.84,2140.32
42,8,513.9,12.85,1541.7
42,40,441.07,11.03,1323.21
42,11,981.95,24.55,2945.85
42,23,569.89,14.25,1709.67
42,4,1126.21,28.16,3378.63
42,25,626.69,15.67,1880.07
42,15,1022.64,25.57,3067.92
42,27,663.64,16.59,1990.92
42,55,1766.08,44.15,5298.24
42,39,674.57,16.86,2023.71
42,49,908.1,22.7,2724.3
42,17,999.82,25.0,2999.46
42,38,873.73,21.84,2621.19
42,0,839.56,20.99,2518.68
42,1,827.83,20.7,2483.49
42,22,535.31,13.38,1605.93
42,2,813.74,20.34,2441.22
42,18,1007.26,25.18,3021.78
42,50,935.79,23.39,2807.37
42,60,1628.63,40.72,4885.89
42,7,1178.03,29.45,3534.09
42,61,915.92,22.9,2747.76
13,24,1193.2,29.83,3579.6
13,47,1236.23,30.91,3708.69
13,31,1226.27,30.66,3678.81
13,54,1298.61,32.47,3895.83
13,53,1312.51,32.81,3937.53
13,19,1970.02,49.25,5910.06
13,12,426.68,10.67,1280.04
13,46,1090.7,27.27,3272.1
13,45,1091.61,27.29,3274.83
13,51,1891.8,47.3,5675.4
13,6,1222.47,30.56,3667.41
13,20,1972.33,49.31,5916.99
13,56,1274.87,31.87,3824.61
13,35,341.22,8.53,1023.66
13,48,1322.24,33.06,3966.72
13,57,1321.44,33.04,3964.32
13,58,1256.38,31.41,3769.14
13,42,912.87,22.82,2738.61
13,14,5.33,0.13,15.99
13,37,1394.0,34.85,4182.0
13,30,1084.23,27.11,3252.69
13,5,1438.78,35.97,4316.34
13,41,701.21,17.53,2103.63
13,52,1662.06,41.55,4986.18
13,26,744.14,18.6,2232.42
13,21,1788.8,44.72,5366.4
13,28,1176.57,29.41,3529.71
13,36,596.63,14.92,1789.89
13,44,726.05,18.15,2178.15
13,43,728.66,18.22,2185.98
13,10,681.54,17.04,2044.62
13,32,1262.18,31.55,3786.54
13,33,1242.36,31.06,3727.08
13,3,576.66,14.42,1729.98
13,9,981.3,24.53,2943.9
13,34,275.37,6.88,826.11
13,59,617.04,15.43,1851.12
13,16,1870.07,46.75,5610.21
13,29,1195.84,29.9,3587.52
13,8,1094.51,27.36,3283.53
13,40,718.42,17.96,2155.26
13,11,743.98,18.6,2231.94
13,23,1104.95,27.62,3314.85
13,4,471.84,11.8,1415.52
13,25,1150.76,28.77,3452.28
13,15,1885.16,47.13,5655.48
13,27,1187.72,29.69,3563.16
13,55,1138.2,28.46,3414.6
13,39,1318.08,32.95,3954.24
13,49,1779.51,44.49,5338.53
13,17,1862.33,46.56,5586.99
13,38,1450.42,36.26,4351.26
13,0,1339.88,33.5,4019.64
13,1,1320.58,33.01,3961.74
13,22,1063.21,26.58,3189.63
13,2,1316.23,32.91,3948.69
13,18,1869.78,46.74,5609.34
13,50,1779.71,44.49,5339.13
13,60,1203.86,30.1,3611.58
13,7,1409.6,35.24,4228.8
13,61,1787.33,44.68,5361.99
14,24,1194.09,29.85,3582.27
14,47,1237.87,30.95,3713.61
14,31,1250.26,31.26,3750.78
14,54,1301.07,32.53,3903.21
14,53,1314.97,32.87,3944.91
14,19,1971.67,49.29,5915.01
14,12,428.32,10.71,1284.96
14,46,1092.34,27.31,3277.02
14,45,1093.25,27.33,3279.75
14,51,1893.45,47.34,5680.35
14,6,1224.11,30.6,3672.33
14,20,1973.97,49.35,5921.91
14,56,1276.51,31.91,3829.53
14,35,343.68,8.59,1031.04
14,48,1323.88,33.1,3971.64
14,57,1323.08,33.08,3969.24
14,58,1258.02,31.45,3774.06
14,42,914.51,22.86,2743.53
14,13,5.72,0.14,17.16
14,37,1417.99,35.45,4253.97
14,30,1085.11,27.13,3255.33
14,5,1441.24,36.03,4323.72
14,41,702.85,17.57,2108.55
14,52,1663.7,41.59,4991.1
14,26,745.78,18.64,2237.34
14,21,1790.44,44.76,5371.32
14,28,1200.56,30.01,3601.68
14,36,598.28,14.96,1794.84
14,44,727.69,18.19,2183.07
14,43,730.3,18.26,2190.9
14,10,682.52,17.06,2047.56
14,32,1263.82,31.6,3791.46
14,33,1244.0,31.1,3732.0
14,3,574.21,14.36,1722.63
14,9,983.76,24.59,2951.28
14,34,277.83,6.95,833.49
14,59,618.68,15.47,1856.04
14,16,1871.71,46.79,5615.13
14,29,1219.83,30.5,3659.49
14,8,1096.15,27.4,3288.45
14,40,720.07,18.0,2160.21
14,11,746.44,18.66,2239.32
14,23,1106.59,27.66,3319.77
14,4,474.3,11.86,1422.9
14,25,1152.4,28.81,3457.2
14,15,1886.8,47.17,5660.4
14,27,1189.36,29.73,3568.08
14,55,1140.66,28.52,3421.98
14,39,1319.72,32.99,3959.16
14,49,1781.15,44.53,5343.45
14,17,1863.98,46.6,5591.94
14,38,1474.41,36.86,4423.23
14,0,1340.77,33.52,4022.31
14,1,1321.47,33.04,3964.41
14,22,1064.85,26.62,3194.55
14,2,1317.12,32.93,3951.36
14,18,1871.42,46.79,5614.26
14,50,1781.36,44.53,5344.08
14,60,1201.41,30.04,3604.23
14,7,1411.24,35.28,4233.72
14,61,1788.97,44.72,5366.91
37,24,241.49,6.04,724.47
37,47,976.82,24.42,2930.46
37,31,176.15,4.4,528.45
37,54,1949.69,48.74,5849.07
37,53,1963.58,49.09,5890.74
37,19,1456.68,36.42,4370.04
37,12,999.6,24.99,2998.8
37,46,1138.32,28.46,3414.96
37,45,1139.34,28.48,3418.02
37,51,884.23,22.11,2652.69
37,6,1786.88,44.67,5360.64
37,20,1478.04,36.95,4434.12
37,56,1735.29,43.38,5205.87
37,35,1252.4,31.31,3757.2
37,48,1163.44,29.09,3490.32
37,57,1779.43,44.49,5338.29
37,58,1730.19,43.25,5190.57
37,42,865.14,21.63,2595.42
37,13,1417.96,35.45,4253.88
37,14,1417.34,35.43,4252.02
37,30,319.2,7.98,957.6
37,5,2089.85,52.25,6269.55
37,41,1267.49,31.69,3802.47
37,52,1758.02,43.95,5274.06
37,26,684.46,17.11,2053.38
37,21,1589.24,39.73,4767.72
37,28,227.87,5.7,683.61
37,36,842.8,21.07,2528.4
37,44,1125.22,28.13,3375.66
37,43,1123.99,28.1,3371.97
37,10,754.95,18.87,2264.85
37,32,656.94,16.42,1970.82
37,33,652.52,16.31,1957.56
37,3,1923.43,48.09,5770.29
37,9,1075.27,26.88,3225.81
37,34,1245.32,31.13,3735.96
37,59,1472.77,36.82,4418.31
37,16,1386.87,34.67,4160.61
37,29,217.81,5.45,653.43
37,8,400.43,10.01,1201.29
37,40,1246.15,31.15,3738.45
37,11,770.81,19.27,2312.43
37,23,336.0,8.4,1008.0
37,4,1322.1,33.05,3966.3
37,25,286.84,7.17,860.52
37,15,1345.76,33.64,4037.28
37,27,251.65,6.29,754.95
37,55,1789.28,44.73,5367.84
37,39,201.01,5.03,603.03
37,49,508.0,12.7,1524.0
37,17,1382.24,34.56,4146.72
37,38,68.48,1.71,205.44
37,0,136.1,3.4,408.3
37,1,175.38,4.38,526.14
37,22,374.32,9.36,1122.96
37,2,155.51,3.89,466.53
37,18,1369.14,34.23,4107.42
37,50,463.79,11.59,1391.37
37,60,2295.86,57.4,6887.58
37,7,2039.91,51.0,6119.73
37,61,514.55,12.86,1543.65
30,24,122.1,3.05,366.3
30,47,1014.82,25.37,3044.46
30,31,153.64,3.84,460.92
30,54,1650.24,41.26,4950.72
30,53,1664.13,41.6,4992.39
30,19,1587.06,39.68,4761.18
30,12,664.7,16.62,1994.1
30,46,1041.39,26.03,3124.17
30,45,1042.4,26.06,3127.2
30,51,1166.52,29.16,3499.56
30,6,1576.64,39.42,4729.92
30,20,1608.42,40.21,4825.26
30,56,1525.05,38.13,4575.15
30,35,943.71,23.59,2831.13
30,48,1189.83,29.75,3569.49
30,57,1569.19,39.23,4707.57
30,58,1519.94,38.0,4559.82
30,42,667.92,16.7,2003.76
30,13,1085.97,27.15,3257.91
30,14,1086.65,27.17,3259.95
30,37,321.37,8.03,964.11
30,5,1790.4,44.76,5371.2
30,41,1011.8,25.3,3035.4
30,52,1720.14,43.0,5160.42
30,26,366.54,9.16,1099.62
30,21,1620.1,40.5,4860.3
30,28,102.21,2.56,306.63
30,36,553.12,13.83,1659.36
30,44,885.13,22.13,2655.39
30,43,887.73,22.19,2663.19
30,10,446.26,11.16,1338.78
30,32,728.31,18.21,2184.93
30,33,712.31,17.81,2136.93
30,3,1614.74,40.37,4844.22
30,9,811.22,20.28,2433.66
30,34,936.62,23.42,2809.86
30,59,1217.25,30.43,3651.75
30,16,1522.59,38.06,4567.77
30,29,125.19,3.13,375.57
30,8,204.15,5.1,612.45
30,40,990.46,24.76,2971.38
30,11,506.76,12.67,1520.28
30,23,156.31,3.91,468.93
30,4,990.57,24.76,2971.71
30,25,148.93,3.72,446.79
30,15,1476.15,36.9,4428.45
30,27,134.85,3.37,404.55
30,55,1489.82,37.25,4469.46
30,39,300.38,7.51,901.14
30,49,790.29,19.76,2370.87
30,17,1514.86,37.87,4544.58
30,38,377.79,9.44,1133.37
30,0,252.72,6.32,758.16
30,1,233.42,5.84,700.26
30,22,138.88,3.47,416.64
30,2,229.06,5.73,687.18
30,18,1499.52,37.49,4498.56
30,50,746.08,18.65,2238.24
30,60,2032.0,50.8,6096.0
30,7,1829.67,45.74,5489.01
30,61,796.84,19.92,2390.52
5,24,1855.24,46.38,5565.72
5,47,2438.31,60.96,7314.93
5,31,1940.56,48.51,5821.68
5,54,545.22,13.63,1635.66
5,53,532.26,13.31,1596.78
5,19,3172.1,79.3,9516.3
5,12,1331.44,33.29,3994.32
5,46,2345.5,58.64,7036.5
5,45,2346.42,58.66,7039.26
5,51,2911.62,72.79,8734.86
5,6,2651.29,66.28,7953.87
5,20,3174.4,79.36,9523.2
5,56,2703.69,67.59,8111.07
5,35,1104.0,27.6,3312.0
5,48,2577.05,64.43,7731.15
5,57,2750.26,68.76,8250.78
5,58,2685.2,67.13,8055.6
5,42,2074.42,51.86,6223.26
5,13,1437.92,35.95,4313.76
5,14,1440.53,36.01,4321.59
5,37,2090.2,52.26,6270.6
5,30,1788.23,44.71,5364.69
5,41,2107.53,52.69,6322.59
5,52,3025.08,75.63,9075.24
5,26,1556.22,38.91,4668.66
5,21,3024.14,75.6,9072.42
5,28,1889.14,47.23,5667.42
5,36,1562.03,39.05,4686.09
5,44,1980.86,49.52,5942.58
5,43,1983.46,49.59,5950.38
5,10,1422.78,35.57,4268.34
5,32,2296.72,57.42,6890.16
5,33,2276.9,56.92,6830.7
5,3,1597.62,39.94,4792.86
5,9,932.24,23.31,2796.72
5,34,1168.72,29.22,3506.16
5,59,2045.86,51.15,6137.58
5,16,3072.14,76.8,9216.42
5,29,1912.11,47.8,5736.33
5,8,1880.15,47.0,5640.45
5,40,2086.2,52.15,6258.6
5,11,1369.24,34.23,4107.72
5,23,1862.52,46.56,5587.56
5,4,987.18,24.68,2961.54
5,25,1910.29,47.76,5730.87
5,15,3066.39,76.66,9199.17
5,27,1898.06,47.45,5694.18
5,55,302.88,7.57,908.64
5,39,2077.6,51.94,6232.8
5,49,2577.22,64.43,7731.66
5,17,3064.41,76.61,9193.23
5,38,2146.62,53.67,6439.86
5,0,2001.92,50.05,6005.76
5,1,1982.62,49.57,5947.86
5,22,1822.73,45.57,5468.19
5,2,1978.27,49.46,5934.81
5,18,3071.85,76.8,9215.55
5,50,2533.0,63.32,7599.0
5,60,2595.11,64.88,7785.33
5,7,2838.43,70.96,8515.29
5,61,2583.76,64.59,7751.28
41,24,1126.49,28.16,3379.47
41,47,747.2,18.68,2241.6
41,31,1115.03,27.88,3345.09
41,54,1965.79,49.14,5897.37
41,53,1979.68,49.49,5939.04
41,19,1481.0,37.02,4443.0
41,12,805.25,20.13,2415.75
41,46,552.46,13.81,1657.38
41,45,553.38,13.83,1660.14
41,51,1447.28,36.18,4341.84
41,6,643.17,16.08,1929.51
41,20,1483.3,37.08,4449.9
41,56,695.57,17.39,2086.71
41,35,1008.15,25.2,3024.45
41,48,784.01,19.6,2352.03
41,57,742.14,18.55,2226.42
41,58,677.09,16.93,2031.27
41,42,463.14,11.58,1389.42
41,13,709.61,17.74,2128.83
41,14,709.31,17.73,2127.93
41,37,1262.91,31.57,3788.73
41,30,1012.94,25.32,3038.82
41,5,2105.95,52.65,6317.85
41,52,1082.76,27.07,3248.28
41,26,779.56,19.49,2338.68
41,21,1250.56,31.26,3751.68
41,28,1065.33,26.63,3195.99
41,36,622.95,15.57,1868.85
41,44,187.82,4.7,563.46
41,43,190.42,4.76,571.26
41,10,838.9,20.97,2516.7
41,32,817.65,20.44,2452.95
41,33,797.83,19.95,2393.49
41,3,1149.71,28.74,3449.13
41,9,1404.62,35.12,4213.86
41,34,942.3,23.56,2826.9
41,59,342.56,8.56,1027.68
41,16,1338.56,33.46,4015.68
41,29,1083.27,27.08,3249.81
41,8,883.72,22.09,2651.16
41,40,26.74,0.67,80.22
41,11,1102.13,27.55,3306.39
41,23,939.71,23.49,2819.13
41,4,1138.77,28.47,3416.31
41,25,996.51,24.91,2989.53
41,15,1396.13,34.9,4188.39
41,27,1033.46,25.84,3100.38
41,55,1805.38,45.13,5416.14
41,39,1106.65,27.67,3319.95
41,49,1363.68,34.09,4091.04
41,17,1373.31,34.33,4119.93
41,38,1305.3,32.63,3915.9
41,0,1222.5,30.56,3667.5
41,1,1203.54,30.09,3610.62
41,22,905.14,22.63,2715.42
41,2,1200.63,30.02,3601.89
41,18,1380.75,34.52,4142.25
41,50,1391.37,34.78,4174.11
41,60,1165.65,29.14,3496.95
41,7,861.93,21.55,2585.79
41,61,1371.5,34.29,4114.5
52,24,1826.2,45.66,5478.6
52,47,804.64,20.12,2413.92
52,31,1791.32,44.78,5373.96
52,54,2891.0,72.28,8673.0
52,53,2904.9,72.62,8714.7
52,19,1042.56,26.06,3127.68
52,12,1730.46,43.26,5191.38
52,46,691.25,17.28,2073.75
52,45,680.82,17.02,2042.46
52,51,1422.57,35.56,4267.71
52,6,574.35,14.36,1723.05
52,20,1024.32,25.61,3072.96
52,56,400.21,10.01,1200.63
52,35,1968.28,49.21,5904.84
52,48,603.41,15.09,1810.23
52,57,395.36,9.88,1186.08
52,58,416.25,10.41,1248.75
52,42,1075.0,26.88,3225.0
52,13,1671.4,41.78,5014.2
52,14,1671.1,41.78,5013.3
52,37,1757.87,43.95,5273.61
52,30,1728.97,43.22,5186.91
52,5,3031.17,75.78,9093.51
52,41,1082.27,27.06,3246.81
52,26,1704.78,42.62,5114.34
52,21,512.32,12.81,1536.96
52,28,1747.34,43.68,5242.02
52,36,1548.16,38.7,4644.48
52,44,1064.73,26.62,3194.19
52,43,1065.14,26.63,3195.42
52,10,1764.11,44.1,5292.33
52,32,1134.84,28.37,3404.52
52,33,1114.11,27.85,3342.33
52,3,1915.61,47.89,5746.83
52,9,2329.84,58.25,6989.52
52,34,1902.42,47.56,5707.26
52,59,1102.12,27.55,3306.36
52,16,881.79,22.04,2645.37
52,29,1755.82,43.9,5267.46
52,8,1569.44,39.24,4708.32
52,40,1063.66,26.59,3190.98
52,11,2027.35,50.68,6082.05
52,23,1628.87,40.72,4886.61
52,4,2082.94,52.07,6248.82
52,25,1653.41,41.34,4960.23
52,15,982.35,24.56,2947.05
52,27,1690.36,42.26,5071.08
52,55,2730.59,68.26,8191.77
52,39,1628.71,40.72,4886.13
52,49,1612.01,40.3,4836.03
52,17,920.68,23.02,2762.04
52,38,1750.71,43.77,5252.13
52,0,1820.2,45.5,5460.6
52,1,1841.14,46.03,5523.42
52,22,1604.14,40.1,4812.42
52,2,1821.27,45.53,5463.81
52,18,954.65,23.87,2863.95
52,50,1639.7,40.99,4919.1
52,60,1590.72,39.77,4772.16
52,7,672.0,16.8,2016.0
52,61,1619.83,40.5,4859.49
26,24,482.15,12.05,1446.45
26,47,1035.38,25.88,3106.14
26,31,516.97,12.92,1550.91
26,54,1421.74,35.54,4265.22
26,53,1435.64,35.89,4306.92
26,19,1647.96,41.2,4943.88
26,12,326.17,8.15,978.51
26,46,1014.84,25.37,3044.52
26,45,1015.75,25.39,3047.25
26,51,1359.4,33.98,4078.2
26,6,1397.44,34.94,4192.32
26,20,1663.11,41.58,4989.33
26,56,1435.84,35.9,4307.52
26,35,667.12,16.68,2001.36
26,48,1197.84,29.95,3593.52
26,57,1482.41,37.06,4447.23
26,58,1417.35,35.43,4252.05
26,42,655.05,16.38,1965.15
26,13,758.49,18.96,2275.47
26,14,757.87,18.95,2273.61
26,37,684.7,17.12,2054.1
26,30,365.79,9.14,1097.37
26,5,1561.9,39.05,4685.7
26,41,778.58,19.46,2335.74
26,52,1694.42,42.36,5083.26
26,21,1628.11,40.7,4884.33
26,28,467.27,11.68,1401.81
26,36,183.33,4.58,549.99
26,44,651.91,16.3,1955.73
26,43,654.51,16.36,1963.53
26,10,119.61,2.99,358.83
26,32,770.38,19.26,2311.14
26,33,750.56,18.76,2251.68
26,3,1299.76,32.49,3899.28
26,9,677.07,16.93,2031.21
26,34,640.7,16.02,1922.1
26,59,860.96,21.52,2582.88
26,16,1560.85,39.02,4682.55
26,29,486.54,12.16,1459.62
26,8,373.92,9.35,1121.76
26,40,757.25,18.93,2271.75
26,11,372.61,9.32,1117.83
26,23,379.17,9.48,1137.51
26,4,717.95,17.95,2153.85
26,25,424.98,10.62,1274.94
26,15,1540.06,38.5,4620.18
26,27,461.94,11.55,1385.82
26,55,1261.33,31.53,3783.99
26,39,592.3,14.81,1776.9
26,49,1098.15,27.45,3294.45
26,17,1553.11,38.83,4659.33
26,38,741.12,18.53,2223.36
26,0,624.44,15.61,1873.32
26,1,605.48,15.14,1816.44
26,22,337.43,8.44,1012.29
26,2,602.58,15.06,1807.74
26,18,1551.43,38.79,4654.29
26,50,1053.93,26.35,3161.79
26,60,1675.71,41.89,5027.13
26,7,1602.2,40.06,4806.6
26,61,1104.69,27.62,3314.07
21,24,1728.45,43.21,5185.35
